id,mat_view_name,refresh_order
1,feature_quantity,1
2,feature_unit,2
7,feature_risk,4
6,feature_pof,3
3,feature_calculation_lookup,5
4,feature_calculation,6
5,feature_projection,7
8,reporter_data,8
9,web_water_valve,9
10,web_water_treatment,10
11,web_water_tank,11
12,web_water_reservoir,12
13,web_water_pump,13
14,web_water_pipe,14
15,web_water_part,15
16,web_water_motor,16
17,web_water_meter,17
18,web_water_manhole_trunk,18
19,web_water_manhole_cover,19
20,web_water_hydrant,20
21,web_water_control,21
22,web_water_box,22
23,web_wastewater_valve,23
24,web_wastewater_treatment,24
25,web_wastewater_tank,25
26,web_wastewater_reservoir,26
27,web_wastewater_pump,27
28,web_wastewater_pipe,28
29,web_wastewater_part,29
30,web_wastewater_motor,30
31,web_wastewater_meter,31
32,web_wastewater_manhole_trunk,32
33,web_wastewater_manhole_cover,33
34,web_wastewater_control,34
35,web_wastewater_cleanout,35
36,web_wastewater_box,36
37,web_transportation_traffic_sign_or_signal,37
38,web_transportation_road_overlay,38
39,web_transportation_pole,39
40,web_transportation_pedestrian_walkway,40
41,web_transportation_light,41
42,web_transportation_base,42
43,web_transportation_barrier_or_fence,43
44,web_structure_recreational,44
45,web_structure_monument,45
46,web_structure_engineered_land,46
47,web_structure_building,47
48,web_structure_bridge,48
49,web_structure_amenity,49
50,web_structure_barrier_or_fence,50
51,web_stormwater_valve,51
52,web_stormwater_treatment,52
53,web_stormwater_tank,53
54,web_stormwater_reservoir,54
55,web_stormwater_pump,55
56,web_stormwater_pipe,56
57,web_stormwater_part,57
58,web_stormwater_motor,58
59,web_stormwater_meter,59
60,web_stormwater_manhole_trunk,60
61,web_stormwater_manhole_cover,61
62,web_stormwater_control,62
63,web_stormwater_grate,63
64,web_stormwater_channel,64
65,web_stormwater_catch_basin,65
66,web_stormwater_box,66
67,web_natural_wetland,67
68,web_natural_waterway,68
69,web_natural_waterbody,69
70,web_natural_grassland,70
71,web_natural_vegetation,71
72,web_natural_forest,72
73,web_natural_aquifer,73
74,web_natural_animalia,74
75,web_fleet,75
76,web_equipment,76
